gameId,MATCHUP,GAME_DATE,WL,Q1_diff,Q2_diff,Q3_diff,Q4_diff
0022501194,HOU vs. MEM,"APR 12, 2026",W,6,15,8,2
0022501178,HOU vs. MIN,"APR 10, 2026",L,-1,5,-1,-7
0022501169,HOU vs. PHI,"APR 09, 2026",W,9,8,6,-12
0022501157,HOU @ PHX,"APR 07, 2026",W,-16,13,0,17
0022501142,HOU @ GSW,"APR 05, 2026",W,-5,7,8,-9
0022501124,HOU vs. UTA,"APR 03, 2026",W,12,7,10,5
0022501110,HOU vs. MIL,"APR 01, 2026",W,7,3,-3,-1
0022501102,HOU vs. NYK,"MAR 31, 2026",W,16,-3,7,-3
0022501088,HOU @ NOP,"MAR 29, 2026",W,0,21,0,11
0022501069,HOU @ MEM,"MAR 27, 2026",W,2,5,-2,5
0022501058,HOU @ MIN,"MAR 25, 2026",L,-4,3,-1,2
0022501042,HOU @ CHI,"MAR 23, 2026",L,-20,3,9,0
0022501027,HOU vs. MIA,"MAR 21, 2026",W,3,-2,-10,10
0022501018,HOU vs. ATL,"MAR 20, 2026",W,8,0,17,-3
0022501007,HOU vs. LAL,"MAR 18, 2026",L,-9,-3,15,-11
0022500989,HOU vs. LAL,"MAR 16, 2026",L,-1,7,-9,-5
0022500964,HOU vs. NOP,"MAR 13, 2026",W,4,4,0,-6
0022500950,HOU @ DEN,"MAR 11, 2026",L,-4,-2,-18,-12
0022500940,HOU vs. TOR,"MAR 10, 2026",W,0,9,-6,11
0022500927,HOU @ SAS,"MAR 08, 2026",L,1,-13,-4,-9
0022500910,HOU vs. POR,"MAR 06, 2026",W,-7,8,-6,12
0022500902,HOU vs. GSW,"MAR 05, 2026",L,-10,6,5,-1
0022500879,HOU @ WAS,"MAR 02, 2026",W,-4,13,5,-9
0022500864,HOU @ MIA,"FEB 28, 2026",L,-4,5,-3,-8
0022500852,HOU @ ORL,"FEB 26, 2026",W,-7,-3,11,4
0022500845,HOU vs. SAC,"FEB 25, 2026",W,11,16,5,-1
0022500830,HOU vs. UTA,"FEB 23, 2026",W,16,5,4,-5
0022500816,HOU @ NYK,"FEB 21, 2026",L,-6,7,15,-18
0022500792,HOU @ CHA,"FEB 19, 2026",W,-9,10,1,2
0022500782,HOU vs. LAC,"FEB 11, 2026",L,7,3,-4,-9
0022500772,HOU vs. LAC,"FEB 10, 2026",W,1,-2,7,1
0022500748,HOU @ OKC,"FEB 07, 2026",W,0,-6,12,0
0022500737,HOU vs. CHA,"FEB 05, 2026",L,-3,-9,-4,6
0022500728,HOU vs. BOS,"FEB 04, 2026",L,-1,-6,-15,1
0022500713,HOU @ IND,"FEB 02, 2026",W,-4,11,-7,4
0022500701,HOU vs. DAL,"JAN 31, 2026",W,3,5,-3,-1
0022500682,HOU @ ATL,"JAN 29, 2026",W,0,1,11,6
0022500679,HOU vs. SAS,"JAN 28, 2026",L,10,-2,-6,-14
0022500662,HOU vs. MEM,"JAN 26, 2026",W,-1,-2,2,10
0022500635,HOU @ DET,"JAN 23, 2026",W,8,-8,14,-7
0022500628,HOU @ PHI,"JAN 22, 2026",L,2,-9,5,2
0022500615,HOU vs. SAS,"JAN 20, 2026",W,-11,1,0,15
0022500604,HOU vs. NOP,"JAN 18, 2026",W,2,8,-3,2
0022500591,HOU vs. MIN,"JAN 16, 2026",W,-5,3,1,6
0022500581,HOU vs. OKC,"JAN 15, 2026",L,-2,-5,5,-18
0022500565,HOU vs. CHI,"JAN 13, 2026",W,5,-8,5,4
0022500557,HOU @ SAC,"JAN 11, 2026",L,1,-4,1,-11
0022500540,HOU @ POR,"JAN 09, 2026",L,1,0,12,-19
0022500527,HOU @ POR,"JAN 07, 2026",L,-3,-7,4,5
0022500505,HOU vs. PHX,"JAN 05, 2026",W,-4,-2,6,3
0022500491,HOU @ DAL,"JAN 03, 2026",L,6,-13,-5,6
0022500471,HOU @ BKN,"JAN 01, 2026",W,6,5,12,1
0022500453,HOU vs. IND,"DEC 29, 2025",W,5,13,9,-20
0022500438,HOU vs. CLE,"DEC 27, 2025",W,8,6,13,-10
0022500012,HOU @ LAL,"DEC 25, 2025",W,12,-2,8,5
0022500422,HOU @ LAC,"DEC 23, 2025",L,6,-11,-11,-4
0022500401,HOU @ SAC,"DEC 21, 2025",L,1,10,-2,-9
0022500386,HOU @ DEN,"DEC 20, 2025",W,-3,11,8,-2
0022500375,HOU @ NOP,"DEC 18, 2025",L,9,13,-6,-16
0022501225,HOU @ DEN,"DEC 15, 2025",L,6,-13,4,3
0022501205,HOU vs. LAC,"DEC 11, 2025",W,0,-3,1,4
0022500356,HOU @ DAL,"DEC 06, 2025",L,-3,3,-17,4
0022500346,HOU vs. PHX,"DEC 05, 2025",W,-7,17,15,-6
0022500330,HOU vs. SAC,"DEC 03, 2025",W,2,-3,17,10
0022500316,HOU @ UTA,"DEC 01, 2025",L,1,-12,2,1
0022500301,HOU @ UTA,"NOV 30, 2025",W,9,10,11,-2
